SKU,mes_label,volumen
30000067,Julio 2026,3.514
30000067,Agosto 2026,2.113
30000067,Septiembre 2026,4.168
30000067,Octubre 2026,2.792
30000067,Noviembre 2026,4.376
30000067,Diciembre 2026,4.376
30000067,Enero 2027,2.471
30000067,Febrero 2027,2.46
30000067,Marzo 2027,2.646
30000067,Abril 2027,2.978
30000067,Mayo 2027,3.089
30000067,Junio 2027,2.709
30000067,Julio 2027,2.163
30000067,Agosto 2027,2.897
30000067,Septiembre 2027,3.106
30000067,Octubre 2027,2.544
30000067,Noviembre 2027,2.905
30000067,Diciembre 2027,3.913
30000068,Enero 2026,2.6
30000068,Febrero 2026,1.653
30000068,Marzo 2026,1.79
30000068,Abril 2026,0.174
30000068,Mayo 2026,0.008
30000068,Junio 2026,0.008
30000068,Julio 2026,0.002
30000068,Agosto 2026,0.003
30000069,Enero 2026,14.133
30000069,Febrero 2026,11.563
30000069,Marzo 2026,14.819
30000069,Abril 2026,14.111
30000069,Mayo 2026,15.093
30000069,Junio 2026,15.219
30000069,Julio 2026,18.928
30000069,Agosto 2026,12.773
30000069,Septiembre 2026,15.0
30000069,Octubre 2026,14.25
30000069,Noviembre 2026,12.968
30000069,Diciembre 2026,12.072
30000069,Enero 2027,12.825
30000069,Febrero 2027,14.51
30000069,Marzo 2027,15.669
30000069,Abril 2027,14.94
30000069,Mayo 2027,14.99
30000069,Junio 2027,15.735
30000069,Julio 2027,16.0
30000069,Agosto 2027,14.365
30000069,Septiembre 2027,12.958
30000069,Octubre 2027,16.941
30000069,Noviembre 2027,14.681
30000069,Diciembre 2027,14.078
30000071,Enero 2026,0.019
30000071,Febrero 2026,0.019
30000071,Marzo 2026,0.015
30000071,Abril 2026,0.021
30000071,Mayo 2026,0.035
30000071,Junio 2026,0.001
30000071,Julio 2026,0.013
30000071,Agosto 2026,0.005
30000073,Enero 2026,9.127
30000073,Febrero 2026,9.126
30000073,Marzo 2026,9.092
30000073,Abril 2026,10.717
30000073,Mayo 2026,8.509
30000073,Junio 2026,8.133
30000073,Julio 2026,10.485
30000073,Agosto 2026,9.693
30000073,Septiembre 2026,11.639
30000073,Octubre 2026,11.639
30000073,Noviembre 2026,12.185
30000073,Diciembre 2026,12.185
30000073,Enero 2027,9.118
30000073,Febrero 2027,9.077
30000073,Marzo 2027,9.765
30000073,Abril 2027,10.989
30000073,Mayo 2027,11.397
30000073,Junio 2027,9.995
30000073,Julio 2027,7.982
30000073,Agosto 2027,10.691
30000073,Septiembre 2027,11.461
30000073,Octubre 2027,9.386
30000073,Noviembre 2027,10.719
30000073,Diciembre 2027,14.437
30000074,Agosto 2026,0.002
30000075,Enero 2026,19.561
30000075,Febrero 2026,19.803
30000075,Marzo 2026,21.193
30000075,Abril 2026,21.964
30000075,Mayo 2026,18.186
30000075,Junio 2026,21.795
30000075,Julio 2026,28.514
30000075,Agosto 2026,21.278
30000075,Septiembre 2026,33.453
30000075,Octubre 2026,22.643
30000075,Noviembre 2026,31.131
30000075,Diciembre 2026,31.131
30000075,Enero 2027,24.762
30000075,Febrero 2027,26.178
30000075,Marzo 2027,26.063
30000075,Abril 2027,30.059
30000075,Mayo 2027,30.487
30000075,Junio 2027,25.144
30000075,Julio 2027,23.753
30000075,Agosto 2027,26.874
30000075,Septiembre 2027,27.27
30000075,Octubre 2027,28.241
30000075,Noviembre 2027,24.026
30000075,Diciembre 2027,25.734
30000079,Enero 2026,11.59
30000079,Febrero 2026,10.705
30000079,Marzo 2026,11.679
30000079,Abril 2026,15.391
30000079,Mayo 2026,12.206
30000079,Junio 2026,9.952
30000079,Julio 2026,16.778
30000079,Agosto 2026,11.771
30000079,Septiembre 2026,17.476
30000079,Octubre 2026,10.247
30000079,Noviembre 2026,11.054
30000079,Diciembre 2026,10.133
30000079,Enero 2027,9.987
30000079,Febrero 2027,11.943
30000079,Marzo 2027,11.663
30000079,Abril 2027,13.655
30000079,Mayo 2027,14.68
30000079,Junio 2027,11.906
30000079,Julio 2027,11.625
30000079,Agosto 2027,14.65
30000079,Septiembre 2027,17.605
30000079,Octubre 2027,7.866
30000079,Noviembre 2027,5.879
30000079,Diciembre 2027,6.304
30000086,Enero 2026,6.281
30000086,Febrero 2026,4.724
30000086,Marzo 2026,6.943
30000086,Abril 2026,7.465
30000086,Mayo 2026,7.606
30000086,Junio 2026,4.91
30000086,Julio 2026,8.512
30000086,Agosto 2026,8.291
30000086,Septiembre 2026,11.25
30000086,Octubre 2026,7.412
30000086,Noviembre 2026,12.0
30000086,Diciembre 2026,9.0
30000086,Enero 2027,8.297
30000086,Febrero 2027,5.932
30000086,Marzo 2027,5.811
30000086,Abril 2027,7.94
30000086,Mayo 2027,11.465
30000086,Junio 2027,7.802
30000086,Julio 2027,8.486
30000086,Agosto 2027,8.102
30000086,Septiembre 2027,6.459
30000086,Octubre 2027,7.136
30000086,Noviembre 2027,10.503
30000086,Diciembre 2027,8.106
30000087,Enero 2026,2.798
30000087,Febrero 2026,1.995
30000087,Marzo 2026,2.417
30000087,Abril 2026,3.113
30000087,Mayo 2026,2.489
30000087,Junio 2026,2.348
30000087,Julio 2026,1.992
30000087,Agosto 2026,2.389
30000087,Septiembre 2026,3.887
30000087,Octubre 2026,3.013
30000087,Noviembre 2026,3.0
30000087,Diciembre 2026,3.0
30000087,Enero 2027,2.922
30000087,Febrero 2027,2.089
30000087,Marzo 2027,2.047
30000087,Abril 2027,2.796
30000087,Mayo 2027,4.038
30000087,Junio 2027,2.748
30000087,Julio 2027,2.989
30000087,Agosto 2027,2.853
30000087,Septiembre 2027,2.275
30000087,Octubre 2027,2.513
30000087,Noviembre 2027,3.699
30000087,Diciembre 2027,2.855
30000088,Enero 2026,7.971
30000088,Febrero 2026,5.655
30000088,Marzo 2026,7.75
30000088,Abril 2026,7.838
30000088,Mayo 2026,7.291
30000088,Junio 2026,6.088
30000088,Julio 2026,4.636
30000088,Agosto 2026,12.199
30000088,Septiembre 2026,7.751
30000088,Octubre 2026,7.17
30000088,Noviembre 2026,8.199
30000088,Diciembre 2026,8.529
30000088,Enero 2027,5.18
30000088,Febrero 2027,8.87
30000088,Marzo 2027,7.811
30000088,Abril 2027,8.278
30000088,Mayo 2027,7.273
30000088,Junio 2027,7.607
30000088,Julio 2027,8.283
30000088,Agosto 2027,7.547
