SKU,Nombre Producto,Marca,SubCat DMD,Categoria Producto,CADENA,Semana,Mes,Venta Sell IN,FCST,Solicitado,Venta Real,Quebrados,Bloqueados,Venta Sell OUT
30001861,MARGARINA SUREÑA 6X900GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Cencosud,202534,202508,3.4398,3.8,3.450600000000001,3.4398,0.0,0.0108,2.933082000000001
30001871,MARGARINA SUREÑA 12X450GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Cencosud,202534,202508,1.1016,3.1,1.107,1.1016,0.0,0.0054,1.888172
30001995,MARGARINA SUREÑA POT 24X250GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Cencosud,202534,202508,0.198,0.4,0.228,0.228,0.0,0.0,0.244986
30000068,MARGARINA SUREÑA LIGHT 6X1KG,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Supermercados Region,202534,202508,0.108,0.2,0.108,0.108,0.0,0.0,0.0
30000088,MARG LONCO C/L SIN LACT 12X500GR,LONCOLECHE,MARGARINA FUNCIONAL,MARGARINA FUNCIONAL,Supermercados Region,202534,202508,0.222,0.2,0.222,0.222,0.0,0.0,0.0
30000097,MARGARINA CALO MIX 12X350GR,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Supermercados Region,202534,202508,0.6426,0.7,0.6762,0.6552,0.0,0.0,0.0
30001861,MARGARINA SUREÑA 6X900GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Supermercados Region,202534,202508,2.3868,2.3,2.6028,2.3868,0.0162,0.189,0.0
30001871,MARGARINA SUREÑA 12X450GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Supermercados Region,202534,202508,2.8296,4.0,3.4506,2.8944,0.09720000000000001,0.4428,0.0
30001995,MARGARINA SUREÑA POT 24X250GR,SUREÑA,MARGARINA REGULAR,MARGARINA REGULAR,Supermercados Region,202534,202508,0.276,0.8,0.294,0.276,0.012,0.0,0.0
30000097,MARGARINA CALO MIX 12X350GR,CALO,MARGARINA REGULAR,MARGARINA REGULAR,Tottus,202534,202508,0.1386,0.2,0.2645999999999999,0.2645999999999999,0.0,0.0,0.227831
