SKU,Nombre Producto,Marca,SubCat DMD,Categoria Producto,CADENA,Semana,Mes,Venta Sell IN,FCST,Solicitado,Venta Real,Quebrados,Bloqueados,Venta Sell OUT
30001364,ACEITE CRISTAL VEGETAL 12X900ML,CRISTAL,ACEITE CRISTAL MASIVO,ACEITES,Supermercados Region,202610,202603,0.12922,0.10934,0.12922,0.12922,0.0,0.0,0.0
30001365,ACEITE CHEF EXTRAVIRGEN 12X500ML,CHEF,ACEITE CHEF TRADICIONAL,ACEITES,Supermercados Region,202610,202603,0.1582,0.22035,0.16385,0.16385,0.0,0.0,0.0
30001376,FULL PROTEIN LONCO CHOCOLATE 18X250,LONCOLECHE,PROTEIN MILK SABORADA INDIVIDUAL,LECHES LIQUIDAS,Supermercados Region,202610,202603,0.0295,0.06228246931672465,0.0675,0.054,0.0135,0.0,0.0
30001404,BREAK CAPPUCCINO LONCO 18X250ML,LONCOLECHE,LECHE SABOR BREAK INDIVIDUAL,LECHES LIQUIDAS,Supermercados Region,202610,202603,0.6479999999999999,0.3870000000000001,0.6795,0.6705,0.0,0.0,0.0
30001405,BREAK CARAMEL LONCO 18X250ML,LONCOLECHE,LECHE SABOR BREAK INDIVIDUAL,LECHES LIQUIDAS,Supermercados Region,202610,202603,0.4050000000000001,0.207,0.4635,0.4275,0.0315,0.0,0.0
30001407,BREAK CHOCO AVELLANA LONCO 18X250ML,LONCOLECHE,LECHE SABOR BREAK INDIVIDUAL,LECHES LIQUIDAS,Supermercados Region,202610,202603,0.3465000000000001,0.198,0.3555,0.3555,0.0,0.0,0.0
30001408,LECHE POLVO SUPER CALO 20X850GR,CALO,BEBIDA LACTEA EN POLVO,LECHES EN POLVO,Supermercados Region,202610,202603,0.0,0.0,0.629,0.0,0.017,0.612,0.0
30001409,LECHE POLVO CALO 26% INST 20X850GR,CALO,LECHE POLVO ENTERA,LECHES EN POLVO,Supermercados Region,202610,202603,1.054,0.77,1.088,1.088,0.0,0.0,0.0
30001410,"LECHE POLVO CALO 26% INST 6X1,440KG",CALO,LECHE POLVO ENTERA,LECHES EN POLVO,Supermercados Region,202610,202603,0.32832,0.1349343377646026,0.32832,0.32832,0.0,0.0,0.0
30001411,LONCO PROTEIN CAPPUCCINO 18X200ML,LONCOLECHE,PROTEIN MILK SABORADA INDIVIDUAL,LECHES LIQUIDAS,Supermercados Region,202610,202603,0.7308,0.591989008976003,0.7740000000000001,0.7704000000000001,0.0,0.0,0.0
30001412,LONCO PROTEIN CHOCOLATE 18X200ML,LONCOLECHE,PROTEIN MILK SABORADA INDIVIDUAL,LECHES LIQUIDAS,Supermercados Region,202610,202603,0.4248,0.3753312572510229,0.4428,0.4428,0.0,0.0,0.0
30001414,BON MOMENT CAPPUCCINO 18X200ML,MOMENTS,MOMENTS INDIVIDUAL,LECHES LIQUIDAS,Supermercados Region,202610,202603,0.3996,0.3066624000000001,0.432,0.4212,0.0,0.0,0.0
30001415,BON MOMENT MOCACCINO 18X200ML,MOMENTS,MOMENTS INDIVIDUAL,LECHES LIQUIDAS,Supermercados Region,202610,202603,0.2592,0.1584,0.288,0.2808,0.0,0.0,0.0
30001423,FULL PROTEIN LONCO VAINILLA 18X250ML,LONCOLECHE,PROTEIN MILK SABORADA INDIVIDUAL,LECHES LIQUIDAS,Supermercados Region,202610,202603,0.1800000000000001,0.151737192403981,0.1935,0.1935,0.0,0.0,0.0
30001479,POUCH WATT'S PERA 36X90GR,WATT'S,POUCH,COLACIONES EN CONSERVA,Supermercados Region,202610,202603,0.5605199999999999,0.4166767305264314,0.6285600000000001,0.5994000000000002,0.0,0.02916,0.0
30001480,POUCH WATT'S MULTIFRUTAS 36X90GR,WATT'S,POUCH,COLACIONES EN CONSERVA,Supermercados Region,202610,202603,0.54432,0.4782346160180052,0.60264,0.57996,0.0,0.02268,0.0
30001481,POUCH WATT'S DURAZNO 36X90GR,WATT'S,POUCH,COLACIONES EN CONSERVA,Supermercados Region,202610,202603,0.57024,0.3825876928144043,0.6350399999999999,0.6156,0.0,0.01944,0.0
30001482,POUCH WATT'S MANZANA 36X90GR,WATT'S,POUCH,COLACIONES EN CONSERVA,Supermercados Region,202610,202603,0.60912,0.5225009606411594,0.67068,0.64152,0.0,0.02916,0.0
30001487,JUGO 100% FRUTA LV WATTS MZNA 30X200ML,WATT'S,JUGO 100% 200,JUGOS Y NECTARES,Supermercados Region,202610,202603,0.3660000000000001,0.27,0.378,0.366,0.012,0.0,0.0
30001522,HABAS WASIL 16X380GR,WASIL,OTRAS CONSERVAS HORTALIZAS,CONSERVAS Y PLATOS LISTOS,Supermercados Region,202610,202603,0.06688000000000001,0.1048610251478303,0.06688,0.06688,0.0,0.0,0.0
30001526,SALSA WASIL POMODORO 16X340GR TTR,WASIL,SALSAS PREPARADAS WASIL,SALSAS,Supermercados Region,202610,202603,0.0272,0.09247999999999998,0.0272,0.0272,0.0,0.0,0.0
